iter	Passed	Remaining
0	144	144612
1	146	72914
2	147	49007
3	148	37031
4	150	29856
5	151	25095
6	152	21669
7	154	19096
8	155	17127
9	156	15540
10	158	14230
11	159	13136
12	160	12214
13	162	11423
14	163	10733
15	164	10127
16	166	9600
17	167	9123
18	168	8694
19	169	8318
20	170	7962
21	172	7649
22	173	7364
23	174	7109
24	176	6868
25	177	6641
26	178	6439
27	180	6256
28	181	6078
29	182	5911
30	184	5753
31	185	5601
32	186	5460
33	187	5341
34	189	5219
35	190	5105
36	191	4992
37	193	4890
38	194	4791
39	195	4698
40	197	4610
41	198	4529
42	199	4448
43	201	4372
44	202	4299
45	203	4227
46	205	4160
47	206	4093
48	207	4029
49	208	3966
50	210	3908
51	211	3853
52	212	3796
53	213	3746
54	215	3696
55	216	3648
56	217	3601
57	218	3555
58	220	3511
59	221	3467
60	222	3425
61	224	3390
62	225	3351
63	226	3311
64	227	3272
65	228	3233
66	229	3197
67	230	3164
68	232	3132
69	233	3100
70	234	3069
71	235	3040
72	237	3012
73	238	2984
74	239	2958
75	241	2932
76	242	2905
77	243	2881
78	245	2856
79	246	2833
80	247	2808
81	248	2782
82	249	2752
83	250	2727
84	251	2702
85	252	2681
86	254	2672
87	255	2652
88	257	2632
89	258	2612
90	259	2595
91	261	2577
92	262	2559
93	263	2542
94	265	2524
95	266	2507
96	267	2491
97	268	2475
98	270	2459
99	271	2444
100	272	2429
101	274	2413
102	275	2399
103	276	2385
104	277	2368
105	279	2355
106	280	2342
107	281	2329
108	283	2317
109	285	2306
110	286	2293
111	287	2280
112	288	2267
113	290	2254
114	291	2242
115	292	2230
116	293	2216
117	294	2204
118	296	2193
119	297	2182
120	299	2172
121	300	2159
122	301	2148
123	302	2137
124	303	2127
125	305	2116
126	306	2104
127	307	2093
128	308	2085
129	310	2075
130	311	2065
131	312	2055
132	313	2045
133	315	2036
134	316	2027
135	317	2017
136	318	2008
137	319	1998
138	321	1990
139	322	1982
140	324	1974
141	324	1963
142	326	1955
143	327	1946
144	328	1938
145	330	1931
146	331	1923
147	332	1915
148	333	1907
149	335	1900
150	337	1897
151	338	1890
152	340	1882
153	341	1873
154	342	1866
155	344	1862
156	345	1854
157	346	1846
158	347	1838
159	349	1832
160	350	1824
161	351	1818
162	352	1811
163	354	1804
164	355	1797
165	356	1791
166	357	1785
167	359	1778
168	360	1772
169	361	1765
170	362	1758
171	363	1751
172	365	1745
173	366	1741
174	368	1735
175	369	1729
176	370	1724
177	371	1717
178	373	1713
179	374	1707
180	376	1702
181	377	1696
182	378	1690
183	379	1684
184	380	1678
185	382	1672
186	383	1666
187	384	1660
188	385	1655
189	386	1649
190	388	1643
191	389	1638
192	390	1632
193	391	1627
194	392	1622
195	394	1616
196	395	1611
197	396	1605
198	397	1600
199	398	1594
200	399	1588
201	400	1583
202	401	1577
203	402	1571
204	404	1567
205	405	1562
206	406	1557
207	407	1552
208	409	1548
209	410	1543
210	411	1537
211	412	1533
212	413	1528
213	414	1523
214	416	1519
215	417	1514
216	418	1510
217	419	1504
218	420	1500
219	421	1495
220	422	1490
221	424	1486
222	425	1482
223	426	1478
224	427	1473
225	429	1470
