iter	Passed	Remaining
0	134	134018
1	135	67388
2	135	45186
3	136	34075
4	137	27408
5	138	22956
6	139	19775
7	140	17401
8	141	15544
9	142	14064
10	142	12852
11	143	11840
12	144	10984
13	145	10250
14	146	9614
15	147	9068
16	148	8576
17	149	8140
18	150	7750
19	150	7397
20	151	7079
21	152	6792
22	153	6529
23	154	6290
24	155	6065
25	156	5857
26	157	5665
27	158	5489
28	159	5324
29	159	5169
30	160	5025
31	162	4904
32	163	4779
33	163	4659
34	164	4547
35	165	4439
36	166	4338
37	170	4327
38	172	4239
39	173	4152
40	173	4066
41	174	3986
42	175	3911
43	176	3836
44	177	3767
45	178	3703
46	179	3642
47	180	3581
48	181	3523
49	182	3467
50	183	3412
51	184	3359
52	185	3309
53	186	3260
54	186	3211
55	187	3166
56	188	3122
57	189	3080
58	190	3040
59	191	3001
60	192	2962
61	193	2925
62	194	2889
63	195	2854
64	196	2820
65	196	2787
66	197	2755
67	198	2718
68	199	2688
69	200	2659
70	201	2631
71	201	2603
72	202	2575
73	203	2549
74	204	2524
75	205	2499
76	206	2474
77	207	2450
78	208	2428
79	209	2405
80	210	2383
81	210	2361
82	211	2340
83	212	2320
84	213	2297
85	214	2277
86	214	2255
87	215	2236
88	216	2218
89	217	2200
90	218	2183
91	219	2166
92	220	2149
93	221	2133
94	222	2116
95	223	2101
96	224	2085
97	224	2070
98	225	2056
99	226	2041
100	227	2027
101	228	2009
102	229	1995
103	230	1982
104	231	1969
105	232	1957
106	233	1944
107	233	1931
108	234	1919
109	235	1907
110	236	1896
111	237	1884
112	238	1873
113	239	1861
114	240	1850
115	241	1838
116	242	1828
117	243	1817
118	243	1805
119	244	1796
120	245	1786
121	246	1776
122	247	1764
123	248	1754
124	249	1745
125	250	1735
126	251	1726
127	251	1715
128	252	1707
129	253	1698
130	254	1690
131	255	1681
132	256	1673
133	257	1665
134	258	1656
135	259	1649
136	260	1641
137	261	1632
138	262	1625
139	263	1617
140	264	1610
141	265	1602
142	266	1595
143	267	1587
144	268	1580
145	268	1573
146	269	1565
147	270	1559
148	271	1552
149	272	1545
150	273	1538
151	274	1532
152	275	1526
153	276	1519
154	277	1512
155	278	1506
156	279	1499
157	280	1493
158	281	1487
159	282	1481
160	283	1475
161	284	1469
162	285	1463
163	285	1457
164	286	1451
165	287	1445
166	288	1440
167	289	1434
168	290	1429
169	291	1424
170	292	1419
171	293	1413
172	294	1408
173	295	1402
174	296	1397
175	297	1392
176	298	1387
177	299	1382
178	300	1377
179	301	1372
180	301	1365
181	302	1360
182	303	1355
183	304	1350
184	305	1346
185	306	1341
186	307	1336
187	308	1332
188	309	1327
189	310	1323
190	311	1318
191	312	1314
192	313	1309
193	314	1305
194	315	1300
195	316	1296
196	317	1292
197	317	1288
198	318	1283
199	319	1279
200	320	1275
201	321	1270
202	322	1266
203	323	1262
204	324	1258
205	325	1253
206	326	1249
207	327	1245
208	328	1241
209	329	1238
210	330	1234
211	331	1230
212	332	1226
213	333	1223
214	334	1219
215	335	1216
216	336	1212
217	336	1208
218	337	1204
219	338	1201
220	339	1197
221	340	1193
222	341	1189
223	342	1186
224	343	1182
225	344	1179
226	345	1175
227	346	1172
228	347	1168
229	348	1165
230	349	1162
231	350	1158
232	350	1155
233	351	1152
234	352	1149
235	353	1145
236	354	1142
237	355	1139
238	356	1136
239	357	1133
240	358	1129
241	359	1126
242	360	1123
243	361	1120
244	362	1116
245	363	1113
246	364	1110
247	365	1107
248	366	1104
249	367	1101
250	367	1097
251	368	1094
252	369	1091
253	370	1089
254	371	1086
255	372	1083
256	373	1080
257	374	1077
258	375	1074
259	376	1071
260	377	1068
261	378	1065
262	379	1063
263	380	1060
264	381	1057
265	382	1055
266	383	1052
267	384	1049
268	385	1047
269	386	1044
270	387	1041
271	388	1038
272	389	1036
273	390	1033
274	391	1031
275	392	1028
276	397	1036
277	398	1034
278	399	1031
279	400	1029
280	401	1026
281	402	1024
282	403	1021
283	404	1018
284	405	1016
285	406	1013
286	407	1011
287	408	1008
288	409	1006
289	410	1003
290	410	1001
291	412	999
292	413	996
293	414	994
294	415	991
295	415	989
296	417	987
297	418	984
298	418	982
299	419	979
300	420	977
301	421	974
302	422	972
303	423	970
304	424	967
305	425	965
306	426	962
307	427	960
308	428	958
309	429	956
310	430	953
311	431	951
312	432	949
313	433	946
314	434	944
315	435	942
316	436	940
317	437	937
318	438	935
319	439	933
320	440	930
321	441	928
322	442	926
323	442	924
324	443	922
325	444	919
326	445	917
327	446	915
328	447	913
329	448	911
330	449	908
331	450	906
332	451	904
333	452	902
334	453	900
335	454	898
336	455	896
337	456	894
338	457	892
339	458	890
340	459	887
341	460	885
342	461	883
343	462	881
344	463	879
345	464	877
346	465	875
347	466	873
348	466	871
